pm2_5,pm10,co,no2,so2,o3,temp,humidity,pressure,wind_speed,aqi_label
81.26,369.08,173.87,0.78,2.61,154.37,26.64,30,1012,1.78,very_poor
81.26,369.08,173.87,0.78,2.61,154.37,27.21,25,1012,2.2,very_poor
2.98,5.54,105.43,0.25,0.3,60.24,26.01,83,1012,2.57,fair
2.98,5.54,105.43,0.25,0.3,60.24,26.01,83,1012,2.57,fair
6.44,6.63,100.57,1.58,0.67,78.72,17.28,68,1017,3.0,fair
2.84,4.02,135.06,1.78,1.21,113.85,23.33,43,1014,2.0,moderate
2.29,8.92,128.02,0.44,0.14,74.01,5.05,93,1007,5.0,fair
10.67,11.64,343.53,3.09,0.67,53.7,38.33,36,1004,3.09,fair
17.58,18.87,347.33,4.0,0.7,59.93,36.23,35,1005,1.37,fair
26.62,28.77,336.07,2.74,0.76,67.69,37.93,35,1006,1.58,moderate
12.68,17.26,144.74,10.86,3.45,84.5,22.57,52,1012,1.31,fair
16.55,22.13,209.94,4.97,10.84,98.19,19.3,52,1012,1.38,fair
16.35,21.27,161.84,15.88,3.94,73.97,22.96,58,1012,1.93,fair
1.56,3.13,116.4,0.63,0.5,35.61,23.39,82,1011,3.8,good
1.38,3.14,117.41,0.46,0.36,33.98,22.53,100,1012,3.19,good
0.5,0.54,94.64,1.17,0.78,17.17,28.38,83,1008,2.55,good
0.5,0.54,94.64,1.17,0.78,17.17,28.37,83,1008,1.79,good
0.5,0.54,94.64,1.17,0.78,17.17,28.3,83,1008,1.79,good
3.01,4.25,102.94,0.28,0.12,34.01,25.34,86,1011,4.62,good
6.31,12.04,110.27,0.5,0.22,35.8,23.03,97,1011,1.16,good
1.66,2.71,104.1,0.31,0.1,26.25,25.86,89,1010,3.99,good
0.66,0.97,93.15,1.33,0.34,37.11,12.84,69,1023,4.95,good
1.36,2.38,101.35,1.23,0.37,38.77,12.85,71,1023,3.58,good
0.5,0.51,88.5,1.21,0.17,39.59,12.49,67,1023,0.95,good
0.73,1.39,134.46,1.82,1.0,84.9,6.03,73,1009,4.12,fair
1.49,2.33,133.87,1.56,0.75,87.26,7.18,61,1010,2.06,fair
3.95,5.13,147.46,5.03,2.22,80.15,7.01,78,1011,3.2,fair
29.48,32.11,187.5,8.22,2.63,70.23,8.52,72,1023,3.09,moderate
28.13,30.41,179.88,6.86,2.27,69.75,9.1,71,1023,4.19,moderate
28.77,31.14,182.5,7.25,2.29,68.35,9.04,68,1023,3.09,moderate
1.24,2.21,134.32,1.66,0.64,82.47,7.79,75,1007,2.57,fair
0.92,1.97,136.2,1.63,0.38,81.33,6.38,59,1008,3.16,fair
2.13,2.79,138.15,2.19,0.66,83.41,8.95,71,1011,2.57,fair
15.81,33.25,167.09,2.95,0.66,84.87,17.49,67,1017,4.09,fair
12.41,29.12,136.14,1.14,0.86,94.87,17.81,71,1011,10.43,fair
8.15,30.11,138.16,1.46,1.19,102.36,16.62,68,1016,6.74,moderate
3.54,9.52,113.65,2.11,3.62,80.68,15.71,87,1017,2.74,fair
2.72,5.32,113.4,3.72,3.31,75.03,14.23,100,1017,0.0,fair
1.67,2.67,101.13,1.32,0.4,59.74,15.08,94,1016,1.03,good
6.36,9.88,166.58,2.56,1.96,108.66,18.88,58,1020,3.6,moderate
1.81,2.78,130.24,0.92,0.7,100.92,12.3,32,1009,4.63,moderate
1.53,2.44,130.65,0.87,0.55,98.33,12.53,41,1010,6.23,fair
2.33,3.23,132.64,1.04,0.88,99.94,11.8,44,1010,6.69,fair
2.37,3.15,130.73,0.52,1.5,123.14,13.88,47,1016,0.51,moderate
2.8,3.7,133.65,0.73,2.12,122.87,11.72,62,1017,1.97,moderate
2.88,4.01,132.45,0.79,1.99,125.88,13.48,62,1016,1.03,moderate
0.69,1.82,70.44,0.17,0.13,29.99,20.98,64,1015,4.63,good
0.87,1.38,67.96,0.16,0.05,29.77,27.11,70,1013,5.13,good
0.5,0.8,64.2,0.09,0.03,33.33,21.37,50,1016,3.39,good
0.79,2.52,99.2,0.01,0.06,8.51,28.98,79,1011,5.66,good
4.42,5.23,120.53,0.55,2.22,104.53,9.9,62,1017,1.03,moderate
5.05,6.18,123.69,1.01,2.29,97.53,9.31,61,1017,2.08,fair
5.24,6.2,120.79,1.56,4.34,92.32,10.64,59,1017,0.52,fair
16.82,37.51,182.03,0.39,0.08,30.07,29.3,42,1006,0.0,fair
13.91,25.1,167.37,0.48,0.04,21.15,28.92,51,1007,4.0,fair
